Year,Month_No,Month,Round,State,Station Code,Station Name,pH
2025,5,May,2,Uttarakhand,1491,BAGIRATHI AT GANGOTRI,7.86
2025,5,May,1,Uttarakhand,5451,RIVER MANDAKINI AT KEDARNATH,7.85
2025,5,May,2,Uttarakhand,5452,RIVER ALAKNANDA AT BADRINATH,7.74
2025,1,January,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",8.16
2025,4,April,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",7.98
2025,7,July,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",7.71
2025,10,October,1,Uttarakhand,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",7.86
2025,1,January,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",7.59
2025,4,April,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",8.05
2025,7,July,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",7.82
2025,10,October,1,Uttarakhand,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",7.82
2025,1,January,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",8.08
2025,4,April,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",8.13
2025,7,July,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",7.9
2025,10,October,1,Uttarakhand,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",7.89
2025,1,January,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",8.02
2025,4,April,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",8.06
2025,7,July,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",8.04
2025,10,October,1,Uttarakhand,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",8.0
2025,1,January,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",7.95
2025,4,April,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",7.99
2025,7,July,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",7.93
2025,10,October,1,Uttarakhand,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",7.85
2025,1,January,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",7.97
2025,4,April,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",8.01
2025,7,July,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",7.86
2025,10,October,1,Uttarakhand,1489,"ALAKNANDA A/C BHAGIRATHI, DEVPRAYAG",8.1
2025,1,January,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.16
2025,1,January,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",7.97
2025,2,February,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.07
2025,2,February,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.1
2025,3,March,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.11
2025,3,March,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.08
2025,4,April,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.19
2025,4,April,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.02
2025,5,May,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.12
2025,5,May,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.1
2025,6,June,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.17
2025,6,June,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.11
2025,7,July,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.1
2025,7,July,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.19
2025,8,August,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.06
2025,8,August,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.15
2025,9,September,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",7.96
2025,9,September,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.09
2025,10,October,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.02
2025,10,October,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.16
2025,11,November,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.09
2025,11,November,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.09
2025,12,December,1,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.22
2025,12,December,2,Uttarakhand,5776,"SWARG ASHRAM ,RISHIKESH",8.16
2025,1,January,1,Uttarakhand,1060,U/S RISHIKESH ,8.15
2025,1,January,2,Uttarakhand,1060,U/S RISHIKESH ,8.03
2025,2,February,1,Uttarakhand,1060,U/S RISHIKESH ,8.1
2025,2,February,2,Uttarakhand,1060,U/S RISHIKESH ,8.14
2025,3,March,1,Uttarakhand,1060,U/S RISHIKESH ,8.16
2025,3,March,2,Uttarakhand,1060,U/S RISHIKESH ,8.05
2025,4,April,1,Uttarakhand,1060,U/S RISHIKESH ,8.09
2025,4,April,2,Uttarakhand,1060,U/S RISHIKESH ,8.11
2025,5,May,1,Uttarakhand,1060,U/S RISHIKESH ,8.16
2025,5,May,2,Uttarakhand,1060,U/S RISHIKESH ,8.06
2025,6,June,1,Uttarakhand,1060,U/S RISHIKESH ,8.09
2025,6,June,2,Uttarakhand,1060,U/S RISHIKESH ,8.15
2025,7,July,1,Uttarakhand,1060,U/S RISHIKESH ,8.15
2025,7,July,2,Uttarakhand,1060,U/S RISHIKESH ,8.02
2025,8,August,1,Uttarakhand,1060,U/S RISHIKESH ,8.11
2025,8,August,2,Uttarakhand,1060,U/S RISHIKESH ,8.1
2025,9,September,1,Uttarakhand,1060,U/S RISHIKESH ,8.02
2025,9,September,2,Uttarakhand,1060,U/S RISHIKESH ,8.14
2025,10,October,1,Uttarakhand,1060,U/S RISHIKESH ,8.11
2025,10,October,2,Uttarakhand,1060,U/S RISHIKESH ,8.24
2025,11,November,1,Uttarakhand,1060,U/S RISHIKESH ,8.16
2025,11,November,2,Uttarakhand,1060,U/S RISHIKESH ,8.16
2025,12,December,1,Uttarakhand,1060,U/S RISHIKESH ,8.14
2025,12,December,2,Uttarakhand,1060,U/S RISHIKESH ,8.1
2025,1,January,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",8.16
2025,1,January,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.94
2025,2,February,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",8.11
2025,2,February,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",8.14
2025,3,March,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",8.02
2025,3,March,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",8.02
2025,4,April,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",8.1
2025,4,April,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.96
2025,5,May,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",8.02
2025,5,May,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.94
2025,6,June,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.96
2025,6,June,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.89
2025,7,July,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.9
2025,7,July,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.92
2025,8,August,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.88
2025,8,August,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.89
2025,9,September,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.81
2025,9,September,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.92
2025,10,October,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.87
2025,10,October,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.98
2025,11,November,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.93
2025,11,November,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.93
2025,12,December,1,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.77
2025,12,December,2,Uttarakhand,5777,"VISTHAPHIT COLONY, RISHIKESH",7.81
2025,1,January,1,Uttarakhand,10147, RISHIKESH D/S,8.12
2025,1,January,2,Uttarakhand,10147, RISHIKESH D/S,7.95
2025,2,February,1,Uttarakhand,10147, RISHIKESH D/S,8.05
2025,2,February,2,Uttarakhand,10147, RISHIKESH D/S,8.09
2025,3,March,1,Uttarakhand,10147, RISHIKESH D/S,7.96
2025,3,March,2,Uttarakhand,10147, RISHIKESH D/S,8.14
2025,4,April,1,Uttarakhand,10147, RISHIKESH D/S,7.89
2025,4,April,2,Uttarakhand,10147, RISHIKESH D/S,8.07
2025,5,May,1,Uttarakhand,10147, RISHIKESH D/S,7.82
2025,5,May,2,Uttarakhand,10147, RISHIKESH D/S,8.14
2025,6,June,1,Uttarakhand,10147, RISHIKESH D/S,7.78
2025,6,June,2,Uttarakhand,10147, RISHIKESH D/S,7.84
2025,7,July,1,Uttarakhand,10147, RISHIKESH D/S,7.78
2025,7,July,2,Uttarakhand,10147, RISHIKESH D/S,7.8
2025,8,August,1,Uttarakhand,10147, RISHIKESH D/S,7.81
2025,8,August,2,Uttarakhand,10147, RISHIKESH D/S,7.86
2025,9,September,1,Uttarakhand,10147, RISHIKESH D/S,7.89
2025,9,September,2,Uttarakhand,10147, RISHIKESH D/S,7.89
2025,10,October,1,Uttarakhand,10147, RISHIKESH D/S,7.85
2025,10,October,2,Uttarakhand,10147, RISHIKESH D/S,7.94
2025,11,November,1,Uttarakhand,10147, RISHIKESH D/S,7.89
2025,11,November,2,Uttarakhand,10147, RISHIKESH D/S,7.89
2025,12,December,1,Uttarakhand,10147, RISHIKESH D/S,7.85
2025,12,December,2,Uttarakhand,10147, RISHIKESH D/S,7.89
2025,1,January,1,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",8.17
2025,1,January,2,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",8.09
2025,2,February,1,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",8.12
2025,2,February,2,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",8.06
2025,3,March,1,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",7.98
2025,3,March,2,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",7.96
2025,4,April,1,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",7.9
2025,4,April,2,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",7.9
2025,5,May,1,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",7.85
2025,5,May,2,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",7.86
2025,6,June,1,Uttarakhand,2725,"A/C SONG, D/S RAIWALA",7.79
